project_county_name,project_state,total_loans,kabbage_loans,percent_kabbage_loans,total_loans.x,kabbage_loans.x,percent_kabbage_loans.x,project_county_name.y.y,total_loans.y,kabbage_loans.y,percent_kabbage_loans.y,state_code,state_name,county_code,fips_code
ABBEVILLE,SC,324,8,2.4691358024691357,324,8,2.4691358024691357,NA,NA,NA,NA,NA,NA,NA,NA
ACADIA,LA,1306,8,0.6125574272588056,1306,8,0.6125574272588056,NA,NA,NA,NA,NA,NA,NA,NA
ACCOMACK,VA,462,1,0.21645021645021645,462,1,0.21645021645021645,NA,NA,NA,NA,NA,NA,NA,NA
ADA,ID,11258,51,0.45301119204121515,11258,51,0.4530111920412151,NA,NA,NA,NA,NA,NA,NA,NA
ADAIR,IA,612,NA,NA,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAIR,KY,962,2,0.2079002079002079,962,2,0.2079002079002079,NA,NA,NA,NA,NA,NA,NA,NA
ADAIR,MO,792,NA,NA,792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAIR,OK,890,NA,NA,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,CO,7481,146,1.9516107472263067,7481,146,1.951610747226307,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,IA,288,NA,NA,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,ID,69,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,IL,2240,7,0.3125,2240,7,0.3125,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,IN,563,2,0.3552397868561279,563,2,0.3552397868561279,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,MS,1096,25,2.281021897810219,1096,25,2.281021897810219,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,ND,213,NA,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,NE,1254,NA,NA,1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,OH,432,4,0.9259259259259258,432,4,0.9259259259259258,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,PA,1313,5,0.38080731150038083,1313,5,0.3808073115003808,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,WA,313,1,0.3194888178913738,313,1,0.3194888178913738,NA,NA,NA,NA,NA,NA,NA,NA
ADAMS,WI,267,NA,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
