zip_code,first_dose,second_dose,single_dose,atleast_one_dose,fully_vaccinated,today,city,state,county,area_code,lat,lon
20906,60741,54180,2545,63286,56725,2022-04-26,Silver Spring,MD,MONTGOMERY,NA,39.083978,-77.061278
20878,55376,50013,3461,58837,53474,2022-04-26,Gaithersburg,MD,MONTGOMERY,NA,39.091857,-77.198452
20874,49195,44444,3417,52612,47861,2022-04-26,Germantown,MD,MONTGOMERY,NA,39.135512,-77.282223
21234,45897,42635,3071,48968,45706,2022-04-26,Parkville,MD,BALTIMORE,NA,39.413106,-76.530044
20904,47005,41831,1733,48738,43564,2022-04-26,Silver Spring,MD,MONTGOMERY,NA,39.066844,-76.996866
20854,44820,39475,2145,46965,41620,2022-04-26,Potomac,MD,MONTGOMERY,NA,39.029839,-77.234792
20850,43060,38546,2553,45613,41099,2022-04-26,Rockville,MD,MONTGOMERY,NA,39.089557,-77.184127
21122,40413,37454,3265,43678,40719,2022-04-26,Pasadena,MD,ANNE ARUNDEL,NA,38.976813,-76.616185
20902,43582,38551,1961,45543,40512,2022-04-26,Silver Spring,MD,MONTGOMERY,NA,39.039974,-77.044449
21117,41668,38020,2433,44101,40453,2022-04-26,Owings Mills,MD,BALTIMORE,NA,39.429055,-76.787696
21043,41207,38107,2162,43369,40269,2022-04-26,Ellicott City,MD,HOWARD,NA,39.254833,-76.800124
21228,39221,36543,2573,41794,39116,2022-04-26,Catonsville,MD,BALTIMORE,NA,39.274156,-76.631074
21042,38434,35544,2076,40510,37620,2022-04-26,Ellicott City,MD,HOWARD,NA,39.261897,-76.897247
21224,37387,33111,3840,41227,36951,2022-04-26,Baltimore,MD,BALTIMORE CITY,NA,39.279207,-76.557237
20852,39309,34476,1927,41236,36403,2022-04-26,Rockville,MD,MONTGOMERY,NA,39.052158,-77.121096
21061,35791,32639,2693,38484,35332,2022-04-26,Glen Burnie,MD,ANNE ARUNDEL,NA,38.967943,-76.615637
20774,37263,33091,1586,38849,34677,2022-04-26,Upper Marlboro,MD,PRINCE GEORGES,NA,38.868212,-76.815591
21044,35498,32687,1812,37310,34499,2022-04-26,Columbia,MD,HOWARD,NA,39.206132,-76.887905
21222,33442,30458,3682,37124,34140,2022-04-26,Dundalk,MD,BALTIMORE,NA,39.325991,-76.451733
21215,33953,30379,2108,36061,32487,2022-04-26,Baltimore,MD,BALTIMORE CITY,NA,39.343306,-76.681192
21740,30432,27560,4897,35329,32457,2022-04-26,Hagerstown,MD,WASHINGTON,NA,39.58887,-77.700213
21093,32519,30347,1933,34452,32280,2022-04-26,Lutherville Timonium,MD,BALTIMORE,NA,39.433206,-76.654593
20772,34575,30799,1451,36026,32250,2022-04-26,Upper Marlboro,MD,PRINCE GEORGES,NA,38.816171,-76.786093
21702,31684,28662,2604,34288,31266,2022-04-26,Frederick,MD,FREDERICK,NA,39.492596,-77.461211
20910,34159,29492,1702,35861,31194,2022-04-26,Silver Spring,MD,MONTGOMERY,NA,39.003109,-77.029648
